RNA_VS_library	Mol_ID	DrugBank_molecule	Max_TC	DrugBank_ID
CCCN(C(=O)CN(C(=O)NCc1nnn(c1)CCCNC(=O)CCCOc1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)N1CCN(CC1)C)CCC)CC(=O)N(CC(=O)N(Cc1nnn(c1)CCCNC(=O)CCCOc1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)N1CCN(CC1)C)CC(=O)N)CCC	Target_lig_1600	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.57042957042957	DB18578
O=C(O)C(NC(=O)CC=1C(Cl)=CC=CC1Cl)C2CCCOC2	Z1870349318	NC(N)=NC(=O)Cc1c(Cl)cccc1Cl	0.570422535211268	DB01018
CN(C=1C=CC=CC1)C=2C=CC=CC2NC(=O)CC3=CN4C=CC=CC4=N3	Z452119158	Fc1ccc2nc(CCC#Cc3ccccn3)cn2c1	0.570422535211268	DB12733
CC=1C=CC=CC1OCC(=O)NC(C=2C=CC=CC2)C=3C=CC=4NC=NC4C3	Z240483032	CN(C)CCOc1ccccc1Cc1ccccc1	0.570422535211268	DB11160
C=1C=CC(=CC1)C=2N=C(N=C3C=CC=CC23)N4CCNCC4	Z57347242	CNc1nc(-c2cccc(NC(=O)c3ccc(C(=O)OC)cc3)c2)c2cc(OC)c(OC)cc2n1	0.570422535211268	DB12776
CN1CCN(CC1)C=2C=C(C=CN2)CNC(=O)C=3N=CC=NC3N	Z747044090	Nc1nc(C(=O)N[C@H](CO)C(=O)O)c(N)nc1C(=O)N[C@H](CO)C(=O)O	0.570412517780939	DB19130
COC=1C=CC=C(C1)COC(=O)C=2C=NC=3NC(C)=NC3C2	Z1662802004	O=C(OCc1ccccc1)c1cccnc1	0.570405727923628	DB15764
NC=1C=CN=C(CN2CCCCC2C(=O)N3CCOCC3)N1	Z1492805667	O=C1CC[C@H](C(=O)N2CCCCC2)N1	0.570405727923628	DB16163
CN(C)c1nc2CCN(Cc2c(n1)N1CCC(CC1)O)Cc1ccco1	17006092	CC(C)c1cc(N2CC[C@@H](N)C2)nc(N)n1	0.570405727923628	DB18899
CC1=NNC(C)=C1CC(=O)NCCC2=CN3C(C)=CC=CC3=N2	Z2458400809	Fc1ccc2nc(CCC#Cc3ccccn3)cn2c1	0.570391872278665	DB12733
CC=1C=C(C=2C=CC=C(F)C2N1)N3C[C@H](N)[C@H](C3)C4=CN(C)C=N4 |&1:14,16,r|	Z3278098092	CN1CCC[C@H]1CCNC(=O)c1cn2c3c(c(N4CC[C@@H](c5cnccn5)C4)c(F)cc3c1=O)Oc1cc3ccccc3cc1-2	0.570386988222098	DB06638
CN1CCN(CC1)C(=O)C=2C=CC=CC2OC=3C=CC=NC3	Z1090877002	O=C(NCCN1CCOCC1)c1ccc(Cl)cc1	0.57037037037037	DB01171
CN1C=C(C=N1)CN(CC2=NC=3CCCCC3C(=O)N2)C=4C=CC=CC4	Z3313926173	Cc1nc(=O)c2c([nH]1)CCSC2	0.570361145703611	DB07677
CC1=NOC=2N=C(C=C(C(=O)N3CCC(CN)C3)C12)C=4C=CC=C(Cl)C4	Z2242910851	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.57035553329995	DB18578
CN(C(=O)C=1C=C(C=CN1)C=2C=NC=3NC=CC3C2)C(CO)C4=CC=CC(F)=C4	Z7685521832	O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1	0.57035175879397	DB08191
CC=1N=NC=2NN=C(NC(=O)C=3C=CC=4C(=O)OC(CC4C3)C=5C=CC=CC5)C2C1C	Z2143205901	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.57035175879397	DB18578
CC1=NN2CC(CCC2=N1)NC3=CC(C)=NC4=NC=NN34	Z1051104356	CCCCNc1cc(C)nc2nc(Nc3cc(Cl)ccc3C)nn12	0.570347957639939	DB07128
CC(C)(C)C1=CC(=CC(=C1OCCCC(=O)NCCCN=[N+]=[N-])C(C)(C)C)C2=NC3=C(N2)C=C(C=C3)N4CCN(CC4)C 	Target_lig_678	CN1CCN(c2ccc3nc(-c4ccc5nc(-c6ccc(N(C)C)cc6)[nH]c5c4)[nH]c3c2)CC1	0.570334928229665	DB04011
CC(C(=O)NC1=NC=CS1)N2CCC(CN3CCOCC3)CC2	Z1084335796	O=C(Nc1nccs1)C(=O)NC1CCCC1	0.570327552986513	DB07591
CC1=NNC(C)=C1NC(=O)CN2CCC=3C=CC=CC3C2	Z46161722	CC(=O)N1CCC(Nc2cc(C(=O)NC[C@H](O)CN3CCc4ccccc4C3)ncn2)CC1	0.570322580645161	DB19170
OCC1=CC(=NO1)C2CN(C[C@@H](O)C3=CC=4C=CC=CC4O3)C2	Z2383598516	CCc1cccc2cc([C@@H](O)CNC(C)(C)C)oc12	0.570321151716501	DB06726
CC1CN(C)CCC1NC(=O)C=2C=C(N=C3C=CC=CC23)C4=NC=5C=CC=CC5S4	Z963959600	CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1	0.5703125	DB06429
O=C(O)C(CNC(=O)CCC1=CC=CC=2C=NC=CC12)C3CCCCC3	Z6476373704	NC(=O)[C@@H](N)Cc1cccc2ccccc12	0.5703125	DB08253
NC1(CC(=O)N2CCCC(CN3C=NC=N3)C2)CCC1	Z2378837082	CC(=O)N1CCC(NC(=O)N[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)CC1	0.5703125	DB06345
FC=1C=CC=CC1C(F)C2CCN(CC2)C=3N=CN=C4NN=CC34	Z2094189342	NCC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1	0.570304818092429	DB08149
CN1CCCC2C1CCN2C(=O)C3=CNC=4N=CN=CC34	Z3363912806	COCCCN(C(=O)c1ccc(Cl)cc1)[C@H]1CCCN(CCc2ccccc2)C1	0.57030223390276	DB08344
CN1C(=NC=2C=CC=CC21)C=3C=CC=C(C3)NC(=O)[C@H]4CCC(=O)N4	Z1137401202	C[C@H](NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)Nc1ccc2ccccc2c1	0.57030223390276	DB07813
O=C(NC1=CC=NC2=CC=NN12)C=3C=C(O)N=C4C=CC=CC34	Z1094884730	Brc1cccc(-c2cc(NCc3ccncc3)[n+]3[nH]ccc3n2)c1	0.570293884034948	DB07595
CC=1N=CC=CC1CNC=2C=NC=3NN=CC3C2	Z3992206361	COc1cc(CN(C)c2cnc3nc(N)nc(N)c3c2)cc(OC)c1	0.570291777188329	DB03987
CCN(CC)CCCN=C(C1=CC=CC(=C1)C2=CC=C(S2)C3=CC(=CC=C3)C(=NCCCN(CC)CC)N)N 	Target_lig_600	NCc1ccc(-c2cccs2)cc1	0.570291777188329	DB07259
CC1=NNC(C)=C1CCC2=NC(=NO2)C=3C=CC(=CC3)S(C)(=O)=O	Z1736382481	CCN(CC)CCc1nc(-c2ccccc2)no1	0.570287539936102	DB13216
CC=1C=CC(=CC1)C2N=C(N)NC3=NC=4C=CC=CC4N32	Z55176009	c1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1	0.570284697508897	DB12964
CC=1C=C(C=CC1N2C=CC=N2)C(=O)O	Z959339194	CCC[C@H](Oc1cc(C)c(-n2cc(C(F)(F)F)cn2)c(C)c1)c1ccc(C(=O)NCCC(=O)O)cc1	0.570281124497992	DB15065
CC=1NC=2C=CC=CC2C1C(=O)N3CCC(CC3)NC4=CC=C(C)N=N4	Z1139267495	Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O	0.570278184480234	DB00969
CC1=NC(=CN1)C(=O)N2CCCC(C2)C(C)(C)C(=O)O	Z2755377841	CC(C)[C@H](Br)C(=O)NC(N)=O	0.570247933884297	DB13370
NC(=O)CC[C@H](NC(=O)C=1C=CC=C2CCCCC12)C(=O)O	Z3018643245	Cc1cccc2c1CCNC2=O	0.570247933884297	DB03722
CC1CC(NC(=O)CN2NC=C3C(=O)N=CN=C32)C4=NC=CN41	Z4743304485	Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F	0.570210631895687	DB18578
